t_ms,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,v_h_ms,v_v_down_ms,v_tot_ms,v_forward_ms,v_side_ms,v_h_u,v_v_u,v_tot_u,v_forward_u,v_side_u,yaw_deg,pitch_deg,fwd_len_h,band,state,underwater
1756424115915,843.671,-233.471,85.492,0.000,0.000,0.000,0.00,-0.00,0.00,0.00,-0.0,0.0,-0.0,0.0,0.0,-0.00,94.05,0.000,1,stall/land,unknown,false
1756424115966,843.615,-232.687,85.263,-0.330,4.646,-1.357,4.66,1.36,4.85,4.66,0.0,183.4,53.4,191.0,183.4,0.04,94.05,0.000,1,unknown,unknown,false
1756424116017,843.587,-232.293,85.148,-0.396,5.582,-1.627,5.60,1.63,5.83,5.60,0.0,220.3,64.0,229.4,220.3,0.04,94.05,0.000,1,unknown,unknown,false
1756424116067,843.559,-231.898,85.034,-0.443,6.246,-1.817,6.26,1.82,6.52,6.26,0.0,246.5,71.5,256.7,246.5,0.04,94.05,0.000,1,unknown,unknown,false
1756424116118,843.503,-231.108,84.804,-0.642,9.061,-2.631,9.08,2.63,9.46,9.08,0.0,357.6,103.6,372.3,357.6,0.04,94.05,0.000,1,forward,unknown,false
1756424116169,843.475,-230.713,84.690,-0.615,8.687,-2.521,8.71,2.52,9.07,8.71,0.0,342.9,99.3,357.0,342.9,0.02,94.05,0.000,1,forward,unknown,false
1756424116219,843.447,-230.317,84.575,-0.598,8.441,-2.449,8.46,2.45,8.81,8.46,0.0,333.2,96.4,346.8,333.2,0.03,94.05,0.000,1,forward,unknown,false
1756424116269,843.422,-229.964,84.461,-0.566,7.999,-2.392,8.02,2.39,8.37,8.02,0.0,315.7,94.2,329.5,315.7,0.01,94.05,0.000,1,neutral,unknown,false
1756424116320,843.377,-229.329,84.232,-0.664,9.372,-3.035,9.40,3.04,9.87,9.40,0.0,369.9,119.5,388.7,369.9,0.02,94.05,0.000,1,forward,unknown,false
1756424116371,843.356,-229.026,84.117,-0.592,8.357,-2.804,8.38,2.80,8.83,8.38,0.0,329.8,110.4,347.8,329.8,0.00,94.05,0.000,1,neutral,unknown,false
1756424116421,843.334,-228.726,84.003,-0.540,7.631,-2.642,7.65,2.64,8.09,7.65,0.0,301.2,104.0,318.6,301.2,0.00,94.05,0.000,1,neutral,unknown,false
1756424116472,843.313,-228.427,83.888,-0.503,7.109,-2.526,7.13,2.53,7.56,7.13,-0.0,280.6,99.5,297.7,280.6,-0.01,94.05,0.000,1,neutral,unknown,false
1756424116523,843.283,-227.997,83.659,-0.533,7.528,-3.127,7.55,3.13,8.17,7.55,-0.0,297.1,123.1,321.6,297.1,-0.00,94.05,0.000,1,neutral,unknown,false
1756424116573,843.273,-227.852,83.544,-0.433,6.125,-2.869,6.14,2.87,6.78,6.14,-0.0,241.7,112.9,266.8,241.7,-0.00,94.05,0.000,1,unknown,unknown,false
1756424116624,843.265,-227.739,83.430,-0.350,4.957,-2.687,4.97,2.69,5.65,4.97,-0.0,195.6,105.8,222.4,195.6,-0.02,94.05,0.000,1,unknown,unknown,false
1756424116674,843.258,-227.644,83.315,-0.285,4.035,-2.560,4.05,2.56,4.79,4.05,-0.0,159.3,100.8,188.5,159.3,-0.01,94.05,0.000,1,unknown,unknown,false
